"Site","Year","Month","Amount"
"FORT WINGATE",2016,9,7.62
"FORT WINGATE",2016,10,33.02
"FORT WINGATE",2016,11,21.59
"FORT WINGATE",2016,12,50.8
"FORT WINGATE",2016,1,15.24
"FORT WINGATE",2016,2,5.08
"FORT WINGATE",2016,3,1.778
"GALLO",2016,4,26.67
"GALLO",2016,5,0
"GALLO",2016,6,5.08
"GALLO",2016,7,2.032
"GALLO",2016,8,30.988
"GALLO",2016,9,16.51
"GALLO",2016,10,21.59
"GALLO",2016,11,9.906
"GALLO",2016,12,19.05
"GALLO",2016,1,5.842
"GALLO",2016,2,3.81
"GALLO",2016,3,0
"GANADO 6 NW",2016,4,27.94
"GANADO 6 NW",2016,5,21.59
"GANADO 6 NW",2016,6,0
"GANADO 6 NW",2016,7,40.64
"GANADO 6 NW",2016,8,57.15
"GANADO 6 NW",2016,9,25.4
"GANADO 6 NW",2016,10,16.51
"GANADO 6 NW",2016,11,21.59
"GANADO 6 NW",2016,12,50.8
"GANADO 6 NW",2016,1,27.432
"GANADO 6 NW",2016,2,15.24
"GANADO 6 NW",2016,3,2.54
"GREY MOUNTAIN SUMMIT",2016,4,51.308
"GREY MOUNTAIN SUMMIT",2016,5,5.588
"GREY MOUNTAIN SUMMIT",2016,6,2.286
"GREY MOUNTAIN SUMMIT",2016,7,90.678
"GREY MOUNTAIN SUMMIT",2016,8,69.85
"GREY MOUNTAIN SUMMIT",2016,9,51.816
"GREY MOUNTAIN SUMMIT",2016,10,28.702
"GREY MOUNTAIN SUMMIT",2016,11,27.94
"GREY MOUNTAIN SUMMIT",2016,12,80.772
"GREY MOUNTAIN SUMMIT",2016,1,2.54
"GREY MOUNTAIN SUMMIT",2016,2,17.78
"GREY MOUNTAIN SUMMIT",2016,3,9.652
"HARDSCRABBLE",2016,4,31.75
"HARDSCRABBLE",2016,5,11.938
"HARDSCRABBLE",2016,6,0
"HARDSCRABBLE",2016,7,41.91
"HARDSCRABBLE",2016,8,27.94
"HARDSCRABBLE",2016,9,10.16
"HARDSCRABBLE",2016,10,39.878
"HARDSCRABBLE",2016,11,55.372
"HARDSCRABBLE",2016,12,27.432
"HARDSCRABBLE",2016,1,9.652
"HARDSCRABBLE",2016,2,2.54
"HARDSCRABBLE",2016,3,1.27
"HIDDEN VALLEY SC",2016,4,43.18
"HIDDEN VALLEY SC",2016,5,15.24
"HIDDEN VALLEY SC",2016,6,2.54
"HIDDEN VALLEY SC",2016,7,45.72
"HIDDEN VALLEY SC",2016,8,63.5
"HIDDEN VALLEY SC",2016,9,22.86
"HIDDEN VALLEY SC",2016,10,50.8
"HIDDEN VALLEY SC",2016,11,28.448
"HIDDEN VALLEY SC",2016,12,69.342
"HIDDEN VALLEY SC",2016,1,26.67
"HIDDEN VALLEY SC",2016,2,6.35
"HIDDEN VALLEY SC",2016,3,6.35
"HOUCK WX",2016,4,13.462
"HOUCK WX",2016,5,37.338
"HOUCK WX",2016,6,0
"HOUCK WX",2016,7,84.074
"HOUCK WX",2016,8,58.928
"HOUCK WX",2016,9,5.08
"HOUCK WX",2016,10,38.862
"HOUCK WX",2016,11,44.958
"HOUCK WX",2016,12,44.958
"HOUCK WX",2016,1,10.16
"HOUCK WX",2016,2,6.35
"HOUCK WX",2016,3,0.508
"HUBBLE'S TP",2016,4,34.29
"HUBBLE'S TP",2016,5,27.94
"HUBBLE'S TP",2016,6,0
"HUBBLE'S TP",2016,7,36.83
"HUBBLE'S TP",2016,8,55.88
"HUBBLE'S TP",2016,9,20.32
"HUBBLE'S TP",2016,10,33.02
"HUBBLE'S TP",2016,11,22.86
"HUBBLE'S TP",2016,12,62.23
"HUBBLE'S TP",2016,1,27.94
"HUBBLE'S TP",2016,2,17.78
"HUBBLE'S TP",2016,3,1.27
"INSCRIPTION HOUSE",2016,4,26.67
"INSCRIPTION HOUSE",2016,5,15.748
"INSCRIPTION HOUSE",2016,6,1.524
"INSCRIPTION HOUSE",2016,7,32.258
"INSCRIPTION HOUSE",2016,8,39.37
"INSCRIPTION HOUSE",2016,9,40.64
"INSCRIPTION HOUSE",2016,10,13.97
"INSCRIPTION HOUSE",2016,11,11.43
"INSCRIPTION HOUSE",2016,12,44.958
"INSCRIPTION HOUSE",2016,1,10.16
"INSCRIPTION HOUSE",2016,2,3.048
"INSCRIPTION HOUSE",2016,3,5.08
"KAYENTA PD",2016,4,25.908
"KAYENTA PD",2016,5,11.938
"KAYENTA PD",2016,6,2.032
"KAYENTA PD",2016,7,20.32
"KAYENTA PD",2016,8,27.94
"KAYENTA PD",2016,9,37.338
"KAYENTA PD",2016,10,0.762
"KAYENTA PD",2016,11,3.81
"KAYENTA PD",2016,12,37.338
"KAYENTA PD",2016,1,3.81
"KAYENTA PD",2016,2,7.62
"KAYENTA PD",2016,3,10.922
"KLAGETOH 9 NE",2016,4,67.31
"KLAGETOH 9 NE",2016,5,16.51
"KLAGETOH 9 NE",2016,6,3.302
"KLAGETOH 9 NE",2016,7,67.818
"KLAGETOH 9 NE",2016,8,83.058
"KLAGETOH 9 NE",2016,9,16.51
"KLAGETOH 9 NE",2016,10,42.672
"KLAGETOH 9 NE",2016,11,31.75
"KLAGETOH 9 NE",2016,12,76.2
"KLAGETOH 9 NE",2016,1,12.7
"KLAGETOH 9 NE",2016,2,0
"KLAGETOH 9 NE",2016,3,2.54
"LITTLE WHITE CONE",2016,4,24.13
"LITTLE WHITE CONE",2016,5,10.16
"LITTLE WHITE CONE",2016,6,12.7
"LITTLE WHITE CONE",2016,7,38.1
"LITTLE WHITE CONE",2016,8,50.8
"LITTLE WHITE CONE",2016,9,54.102
"LITTLE WHITE CONE",2016,10,6.858
"LITTLE WHITE CONE",2016,11,33.02
"LITTLE WHITE CONE",2016,12,73.66
"LITTLE WHITE CONE",2016,1,6.35
"LITTLE WHITE CONE",2016,2,5.08
"LITTLE WHITE CONE",2016,3,1.27
"LOWER GREASEWOOD",2016,4,38.862
"LOWER GREASEWOOD",2016,5,5.588
"LOWER GREASEWOOD",2016,6,3.81
"LOWER GREASEWOOD",2016,7,34.29
"LOWER GREASEWOOD",2016,8,36.83
"LOWER GREASEWOOD",2016,9,20.32
"LOWER GREASEWOOD",2016,10,22.098
"LOWER GREASEWOOD",2016,11,19.812
"LOWER GREASEWOOD",2016,12,45.72
"LOWER GREASEWOOD",2016,1,1.27
"LOWER GREASEWOOD",2016,2,13.97
"LOWER GREASEWOOD",2016,3,5.08
"MANUELITO-CHAPTER HOUSE",2016,4,16.002
"MANUELITO-CHAPTER HOUSE",2016,5,41.91
"MANUELITO-CHAPTER HOUSE",2016,6,1.27
"MANUELITO-CHAPTER HOUSE",2016,7,38.1
"MANUELITO-CHAPTER HOUSE",2016,8,45.72
"MANUELITO-CHAPTER HOUSE",2016,9,10.16
"MANUELITO-CHAPTER HOUSE",2016,10,30.48
"MANUELITO-CHAPTER HOUSE",2016,11,38.1
"MANUELITO-CHAPTER HOUSE",2016,12,69.342
"MANUELITO-CHAPTER HOUSE",2016,1,16.51
"MANUELITO-CHAPTER HOUSE",2016,2,2.54
"MANUELITO-CHAPTER HOUSE",2016,3,1.778
"MARSH PASS",2016,4,31.75
"MARSH PASS",2016,5,8.382
"MARSH PASS",2016,6,4.318
"MARSH PASS",2016,7,87.63
"MARSH PASS",2016,8,41.402
"MARSH PASS",2016,9,18.796
"MARSH PASS",2016,10,6.604
"MARSH PASS",2016,11,6.858
"MARSH PASS",2016,12,52.07
"MARSH PASS",2016,1,10.16
"MARSH PASS",2016,2,21.082
"MARSH PASS",2016,3,4.318
"MEXICAN SPRINGS",2016,4,13.208
"MEXICAN SPRINGS",2016,5,38.1
"MEXICAN SPRINGS",2016,6,0
"MEXICAN SPRINGS",2016,7,10.16
"MEXICAN SPRINGS",2016,8,76.2
"MEXICAN SPRINGS",2016,9,20.32
"MEXICAN SPRINGS",2016,10,22.86
"MEXICAN SPRINGS",2016,11,16.51
"MEXICAN SPRINGS",2016,12,53.848
"MEXICAN SPRINGS",2016,1,3.048
"MEXICAN SPRINGS",2016,2,5.588
"MEXICAN SPRINGS",2016,3,3.302
"MILK MESA",2016,4,48.26
"MILK MESA",2016,5,5.08
"MILK MESA",2016,6,5.08
"MILK MESA",2016,7,12.7
"MILK MESA",2016,8,22.86
"MILK MESA",2016,9,30.48
"MILK MESA",2016,10,2.54
"MILK MESA",2016,11,22.86
"MILK MESA",2016,12,24.13
"MILK MESA",2016,1,6.096
"MILK MESA",2016,2,2.032
"MILK MESA",2016,3,1.27
"MISSIONARY SPRINGS SC",2016,4,23.876
"MISSIONARY SPRINGS SC",2016,5,25.4
"MISSIONARY SPRINGS SC",2016,6,2.54
"MISSIONARY SPRINGS SC",2016,7,45.72
"MISSIONARY SPRINGS SC",2016,8,77.47
"MISSIONARY SPRINGS SC",2016,9,31.75
"MISSIONARY SPRINGS SC",2016,10,32.258
"MISSIONARY SPRINGS SC",2016,11,69.342
"MISSIONARY SPRINGS SC",2016,12,81.28
"MISSIONARY SPRINGS SC",2016,1,7.62
"MISSIONARY SPRINGS SC",2016,2,19.05
"MISSIONARY SPRINGS SC",2016,3,6.35
"MOUNT POWELL",2016,4,27.94
"MOUNT POWELL",2016,5,43.942
"MOUNT POWELL",2016,6,1.778
"MOUNT POWELL",2016,7,43.18
"MOUNT POWELL",2016,8,68.58
"MOUNT POWELL",2016,9,15.24
"MOUNT POWELL",2016,10,45.72
"MOUNT POWELL",2016,11,22.86
"MOUNT POWELL",2016,12,30.734
"MOUNT POWELL",2016,1,27.94
"MOUNT POWELL",2016,2,13.97
"MOUNT POWELL",2016,3,0
"NAGEEZI",2016,4,35.052
"NAGEEZI",2016,5,0
"NAGEEZI",2016,6,6.35
"NAGEEZI",2016,7,11.43
"NAGEEZI",2016,8,72.39
"NAGEEZI",2016,9,13.97
"NAGEEZI",2016,10,37.846
"NAGEEZI",2016,11,20.574
"NAGEEZI",2016,12,22.098
"NAGEEZI",2016,1,4.572
"NAGEEZI",2016,2,6.35
"NAGEEZI",2016,3,0.508
"NAPI WX",2016,4,15.24
"NAPI WX",2016,5,25.4
"NAPI WX",2016,6,0
"NAPI WX",2016,7,38.862
"NAPI WX",2016,8,27.178
"NAPI WX",2016,9,15.24
"NAPI WX",2016,10,12.7
"NAPI WX",2016,11,17.78
"NAPI WX",2016,12,20.828
"NAPI WX",2016,1,9.652
"NAPI WX",2016,2,6.35
"NAPI WX",2016,3,1.27
"NAVAJO MTN SCHOOL",2016,4,30.988
"NAVAJO MTN SCHOOL",2016,5,0.762
"NAVAJO MTN SCHOOL",2016,6,NA
"NAVAJO MTN SCHOOL",2016,7,34.798
"NAVAJO MTN SCHOOL",2016,8,26.67
"NAVAJO MTN SCHOOL",2016,9,78.74
"NAVAJO MTN SCHOOL",2016,10,4.572
"NAVAJO MTN SCHOOL",2016,11,8.128
"NAVAJO MTN SCHOOL",2016,12,71.12
"NAVAJO MTN SCHOOL",2016,1,13.208
"NAVAJO MTN SCHOOL",2016,2,26.67
"NAVAJO MTN SCHOOL",2016,3,10.16
"NORTH LEUPP FARM WX",2016,4,26.67
"NORTH LEUPP FARM WX",2016,5,3.81
"NORTH LEUPP FARM WX",2016,6,0
"NORTH LEUPP FARM WX",2016,7,3.048
"NORTH LEUPP FARM WX",2016,8,38.862
"NORTH LEUPP FARM WX",2016,9,8.636
"NORTH LEUPP FARM WX",2016,10,15.494
"NORTH LEUPP FARM WX",2016,11,4.572
"NORTH LEUPP FARM WX",2016,12,24.13
"NORTH LEUPP FARM WX",2016,1,0.508
"NORTH LEUPP FARM WX",2016,2,8.382
"NORTH LEUPP FARM WX",2016,3,2.54
"OAK RIDGE",2016,4,1.27
"OAK RIDGE",2016,5,66.04
"OAK RIDGE",2016,6,5.08
"OAK RIDGE",2016,7,33.02
"OAK RIDGE",2016,8,73.66
"OAK RIDGE",2016,9,21.59
"OAK RIDGE",2016,10,39.878
"OAK RIDGE",2016,11,60.452
"OAK RIDGE",2016,12,67.056
"OAK RIDGE",2016,1,22.098
"OAK RIDGE",2016,2,7.62
"OAK RIDGE",2016,3,2.54
"OJO ENCINO",2016,4,52.832
"OJO ENCINO",2016,5,0
"OJO ENCINO",2016,6,2.54
"OJO ENCINO",2016,7,21.59
"OJO ENCINO",2016,8,47.752
"OJO ENCINO",2016,9,39.878
"OJO ENCINO",2016,10,3.81
"OJO ENCINO",2016,11,31.75
"OJO ENCINO",2016,12,27.94
"OJO ENCINO",2016,1,17.78
"OJO ENCINO",2016,2,7.62
"OJO ENCINO",2016,3,0.508
"OLJATO - OLD TP",2016,4,17.78
"OLJATO - OLD TP",2016,5,2.54
"OLJATO - OLD TP",2016,6,0
"OLJATO - OLD TP",2016,7,32.512
"OLJATO - OLD TP",2016,8,76.708
"OLJATO - OLD TP",2016,9,22.86
"OLJATO - OLD TP",2016,10,5.08
"OLJATO - OLD TP",2016,11,4.572
"OLJATO - OLD TP",2016,12,40.894
"OLJATO - OLD TP",2016,1,3.048
"OLJATO - OLD TP",2016,2,12.192
"OLJATO - OLD TP",2016,3,2.54
"PINE SPRINGS",2016,4,30.734
"PINE SPRINGS",2016,5,59.182
"PINE SPRINGS",2016,6,0
"PINE SPRINGS",2016,7,53.34
"PINE SPRINGS",2016,8,55.88
"PINE SPRINGS",2016,9,10.922
"PINE SPRINGS",2016,10,60.198
"PINE SPRINGS",2016,11,79.502
"PINE SPRINGS",2016,12,74.93
"PINE SPRINGS",2016,1,30.48
"PINE SPRINGS",2016,2,5.08
"PINE SPRINGS",2016,3,2.794
"PITTS RANCH",2016,4,50.8
"PITTS RANCH",2016,5,0
"PITTS RANCH",2016,6,3.81
"PITTS RANCH",2016,7,24.13
"PITTS RANCH",2016,8,41.91
"PITTS RANCH",2016,9,24.13
"PITTS RANCH",2016,10,12.7
"PITTS RANCH",2016,11,33.02
"PITTS RANCH",2016,12,24.13
"PITTS RANCH",2016,1,5.588
"PITTS RANCH",2016,2,1.27
"PITTS RANCH",2016,3,1.27
"PUEBLO PINTADO O&M",2016,4,19.05
"PUEBLO PINTADO O&M",2016,5,5.842
"PUEBLO PINTADO O&M",2016,6,2.286
"PUEBLO PINTADO O&M",2016,7,21.082
"PUEBLO PINTADO O&M",2016,8,28.448
"PUEBLO PINTADO O&M",2016,9,14.732
"PUEBLO PINTADO O&M",2016,10,24.638
"PUEBLO PINTADO O&M",2016,11,36.322
"PUEBLO PINTADO O&M",2016,12,24.13
"PUEBLO PINTADO O&M",2016,1,13.208
"PUEBLO PINTADO O&M",2016,2,3.81
"PUEBLO PINTADO O&M",2016,3,0
"ROUND ROCK",2016,4,38.862
"ROUND ROCK",2016,5,14.478
"ROUND ROCK",2016,6,0
"ROUND ROCK",2016,7,8.382
"ROUND ROCK",2016,8,76.2
"ROUND ROCK",2016,9,5.08
"ROUND ROCK",2016,10,7.62
"ROUND ROCK",2016,11,7.62
"ROUND ROCK",2016,12,27.94
"ROUND ROCK",2016,1,5.08
"ROUND ROCK",2016,2,6.858
"ROUND ROCK",2016,3,2.54
"SEVEN LAKES",2016,4,59.69
"SEVEN LAKES",2016,5,3.048
"SEVEN LAKES",2016,6,12.192
"SEVEN LAKES",2016,7,15.24
"SEVEN LAKES",2016,8,65.532
"SEVEN LAKES",2016,9,29.718
"SEVEN LAKES",2016,10,7.62
"SEVEN LAKES",2016,11,21.59
"SEVEN LAKES",2016,12,24.13
"SEVEN LAKES",2016,1,9.398
"SEVEN LAKES",2016,2,0.762
"SEVEN LAKES",2016,3,0
"SHEEP SPRINGS WX",2016,4,11.43
"SHEEP SPRINGS WX",2016,5,21.59
"SHEEP SPRINGS WX",2016,6,2.54
"SHEEP SPRINGS WX",2016,7,NA
"SHEEP SPRINGS WX",2016,8,NA
"SHEEP SPRINGS WX",2016,9,10.16
"SHEEP SPRINGS WX",2016,10,11.43
"SHEEP SPRINGS WX",2016,11,14.732
"SHEEP SPRINGS WX",2016,12,43.18
"SHEEP SPRINGS WX",2016,1,5.08
"SHEEP SPRINGS WX",2016,2,3.81
"SHEEP SPRINGS WX",2016,3,2.54
"SHIPROCK IRRIGATION",2016,4,15.24
"SHIPROCK IRRIGATION",2016,5,15.24
"SHIPROCK IRRIGATION",2016,6,1.27
"SHIPROCK IRRIGATION",2016,7,7.62
"SHIPROCK IRRIGATION",2016,8,44.45
"SHIPROCK IRRIGATION",2016,9,5.08
"SHIPROCK IRRIGATION",2016,10,5.08
"SHIPROCK IRRIGATION",2016,11,7.62
"SHIPROCK IRRIGATION",2016,12,16.51
"SHIPROCK IRRIGATION",2016,1,16.51
"SHIPROCK IRRIGATION",2016,2,2.54
"SHIPROCK IRRIGATION",2016,3,1.27
"SMITH LAKE",2016,4,21.59
"SMITH LAKE",2016,5,25.4
"SMITH LAKE",2016,6,0
"SMITH LAKE",2016,7,13.97
"SMITH LAKE",2016,8,80.01
"SMITH LAKE",2016,9,17.78
"SMITH LAKE",2016,10,60.96
"SMITH LAKE",2016,11,22.098
"SMITH LAKE",2016,12,29.21
"SMITH LAKE",2016,1,7.62
"SMITH LAKE",2016,2,5.08
"SMITH LAKE",2016,3,1.27
"STANDING ROCK - JUDY W",2016,4,40.132
"STANDING ROCK - JUDY W",2016,5,5.08
"STANDING ROCK - JUDY W",2016,6,0
"STANDING ROCK - JUDY W",2016,7,22.86
"STANDING ROCK - JUDY W",2016,8,74.93
"STANDING ROCK - JUDY W",2016,9,26.67
"STANDING ROCK - JUDY W",2016,10,6.35
"STANDING ROCK - JUDY W",2016,11,25.4
"STANDING ROCK - JUDY W",2016,12,25.4
"STANDING ROCK - JUDY W",2016,1,2.032
"STANDING ROCK - JUDY W",2016,2,2.54
"STANDING ROCK - JUDY W",2016,3,10.668
"STEAMBOAT",2016,4,16.002
"STEAMBOAT",2016,5,27.94
"STEAMBOAT",2016,6,22.098
"STEAMBOAT",2016,7,18.542
"STEAMBOAT",2016,8,53.34
"STEAMBOAT",2016,9,33.02
"STEAMBOAT",2016,10,29.21
"STEAMBOAT",2016,11,8.89
"STEAMBOAT",2016,12,43.18
"STEAMBOAT",2016,1,8.89
"STEAMBOAT",2016,2,0
"STEAMBOAT",2016,3,5.08
"SUMMIT SOUTH",2016,4,33.02
"SUMMIT SOUTH",2016,5,85.598
"SUMMIT SOUTH",2016,6,1.27
"SUMMIT SOUTH",2016,7,25.654
"SUMMIT SOUTH",2016,8,72.898
"SUMMIT SOUTH",2016,9,34.29
"SUMMIT SOUTH",2016,10,53.34
"SUMMIT SOUTH",2016,11,15.24
"SUMMIT SOUTH",2016,12,69.85
"SUMMIT SOUTH",2016,1,58.42
"SUMMIT SOUTH",2016,2,6.858
"SUMMIT SOUTH",2016,3,0.762
"SUMMIT WX",2016,4,30.48
"SUMMIT WX",2016,5,46.228
"SUMMIT WX",2016,6,1.27
"SUMMIT WX",2016,7,21.082
"SUMMIT WX",2016,8,81.28
"SUMMIT WX",2016,9,30.48
"SUMMIT WX",2016,10,53.34
"SUMMIT WX",2016,11,16.51
"SUMMIT WX",2016,12,71.12
"SUMMIT WX",2016,1,35.56
"SUMMIT WX",2016,2,8.636
"SUMMIT WX",2016,3,1.524
"TOADINDAASKA MESA",2016,4,30.48
"TOADINDAASKA MESA",2016,5,2.54
"TOADINDAASKA MESA",2016,6,2.54
"TOADINDAASKA MESA",2016,7,55.88
"TOADINDAASKA MESA",2016,8,38.1
"TOADINDAASKA MESA",2016,9,12.7
"TOADINDAASKA MESA",2016,10,15.24
"TOADINDAASKA MESA",2016,11,5.08
"TOADINDAASKA MESA",2016,12,31.75
"TOADINDAASKA MESA",2016,1,8.89
"TOADINDAASKA MESA",2016,2,14.478
"TOADINDAASKA MESA",2016,3,2.032
"TOADLENA FISH HATCHERY",2016,4,17.78
"TOADLENA FISH HATCHERY",2016,5,35.56
"TOADLENA FISH HATCHERY",2016,6,2.54
"TOADLENA FISH HATCHERY",2016,7,15.24
"TOADLENA FISH HATCHERY",2016,8,45.72
"TOADLENA FISH HATCHERY",2016,9,40.64
"TOADLENA FISH HATCHERY",2016,10,17.78
"TOADLENA FISH HATCHERY",2016,11,38.1
"TOADLENA FISH HATCHERY",2016,12,81.788
"TOADLENA FISH HATCHERY",2016,1,12.7
"TOADLENA FISH HATCHERY",2016,2,11.43
"TOADLENA FISH HATCHERY",2016,3,8.89
"TODACHIENY LAKE",2016,4,29.21
"TODACHIENY LAKE",2016,5,38.1
"TODACHIENY LAKE",2016,6,0
"TODACHIENY LAKE",2016,7,44.45
"TODACHIENY LAKE",2016,8,85.09
"TODACHIENY LAKE",2016,9,33.02
"TODACHIENY LAKE",2016,10,44.45
"TODACHIENY LAKE",2016,11,45.72
"TODACHIENY LAKE",2016,12,77.47
"TODACHIENY LAKE",2016,1,22.86
"TODACHIENY LAKE",2016,2,8.89
"TODACHIENY LAKE",2016,3,20.32
"TOHATCHI MEADOW",2016,4,25.4
"TOHATCHI MEADOW",2016,5,45.72
"TOHATCHI MEADOW",2016,6,7.62
"TOHATCHI MEADOW",2016,7,15.24
"TOHATCHI MEADOW",2016,8,17.78
"TOHATCHI MEADOW",2016,9,27.94
"TOHATCHI MEADOW",2016,10,38.1
"TOHATCHI MEADOW",2016,11,21.082
"TOHATCHI MEADOW",2016,12,60.96
"TOHATCHI MEADOW",2016,1,37.592
"TOHATCHI MEADOW",2016,2,20.066
"TOHATCHI MEADOW",2016,3,7.366
"TOHTSO",2016,4,27.94
"TOHTSO",2016,5,81.28
"TOHTSO",2016,6,15.24
"TOHTSO",2016,7,22.86
"TOHTSO",2016,8,71.12
"TOHTSO",2016,9,12.7
"TOHTSO",2016,10,13.97
"TOHTSO",2016,11,13.97
"TOHTSO",2016,12,33.02
"TOHTSO",2016,1,24.13
"TOHTSO",2016,2,5.08
"TOHTSO",2016,3,5.08
"TORREON FIRE STATION",2016,4,35.56
"TORREON FIRE STATION",2016,5,0
"TORREON FIRE STATION",2016,6,2.54
"TORREON FIRE STATION",2016,7,20.32
"TORREON FIRE STATION",2016,8,27.94
"TORREON FIRE STATION",2016,9,25.4
"TORREON FIRE STATION",2016,10,2.54
"TORREON FIRE STATION",2016,11,29.718
"TORREON FIRE STATION",2016,12,16.51
"TORREON FIRE STATION",2016,1,12.7
"TORREON FIRE STATION",2016,2,2.54
"TORREON FIRE STATION",2016,3,2.54
"TSAILE CANYON",2016,4,77.47
"TSAILE CANYON",2016,5,17.78
"TSAILE CANYON",2016,6,6.35
"TSAILE CANYON",2016,7,63.5
"TSAILE CANYON",2016,8,80.01
"TSAILE CANYON",2016,9,13.97
"TSAILE CANYON",2016,10,29.21
"TSAILE CANYON",2016,11,29.21
"TSAILE CANYON",2016,12,45.72
"TSAILE CANYON",2016,1,52.324
"TSAILE CANYON",2016,2,24.13
"TSAILE CANYON",2016,3,8.89
"TSAILE SNOW COURSE  # 1",2016,4,91.44
"TSAILE SNOW COURSE  # 1",2016,5,17.78
"TSAILE SNOW COURSE  # 1",2016,6,7.62
"TSAILE SNOW COURSE  # 1",2016,7,22.86
"TSAILE SNOW COURSE  # 1",2016,8,78.74
"TSAILE SNOW COURSE  # 1",2016,9,38.1
"TSAILE SNOW COURSE  # 1",2016,10,40.64
"TSAILE SNOW COURSE  # 1",2016,11,38.1
"TSAILE SNOW COURSE  # 1",2016,12,71.12
"TSAILE SNOW COURSE  # 1",2016,1,78.74
"TSAILE SNOW COURSE  # 1",2016,2,27.94
"TSAILE SNOW COURSE  # 1",2016,3,10.16
"TSAILE SNOW COURSE  # 3",2016,4,93.98
"TSAILE SNOW COURSE  # 3",2016,5,17.78
"TSAILE SNOW COURSE  # 3",2016,6,5.08
"TSAILE SNOW COURSE  # 3",2016,7,55.88
"TSAILE SNOW COURSE  # 3",2016,8,71.12
"TSAILE SNOW COURSE  # 3",2016,9,30.48
"TSAILE SNOW COURSE  # 3",2016,10,22.86
"TSAILE SNOW COURSE  # 3",2016,11,43.434
"TSAILE SNOW COURSE  # 3",2016,12,60.706
"TSAILE SNOW COURSE  # 3",2016,1,53.34
"TSAILE SNOW COURSE  # 3",2016,2,30.48
"TSAILE SNOW COURSE  # 3",2016,3,2.54
"TUBA CITY O&M",2016,4,8.636
"TUBA CITY O&M",2016,5,7.874
"TUBA CITY O&M",2016,6,2.032
"TUBA CITY O&M",2016,7,15.748
"TUBA CITY O&M",2016,8,42.418
"TUBA CITY O&M",2016,9,25.4
"TUBA CITY O&M",2016,10,20.32
"TUBA CITY O&M",2016,11,17.78
"TUBA CITY O&M",2016,12,28.702
"TUBA CITY O&M",2016,1,2.54
"TUBA CITY O&M",2016,2,7.62
"TUBA CITY O&M",2016,3,4.572
"VANDERWAGON O&M",2016,4,26.67
"VANDERWAGON O&M",2016,5,43.18
"VANDERWAGON O&M",2016,6,0
"VANDERWAGON O&M",2016,7,20.32
"VANDERWAGON O&M",2016,8,83.82
"VANDERWAGON O&M",2016,9,17.78
"VANDERWAGON O&M",2016,10,36.83
"VANDERWAGON O&M",2016,11,26.67
"VANDERWAGON O&M",2016,12,55.118
"VANDERWAGON O&M",2016,1,22.86
"VANDERWAGON O&M",2016,2,2.54
"VANDERWAGON O&M",2016,3,3.81
"VICENTI SPRING",2016,4,27.94
"VICENTI SPRING",2016,5,22.86
"VICENTI SPRING",2016,6,27.94
"VICENTI SPRING",2016,7,55.88
"VICENTI SPRING",2016,8,99.06
"VICENTI SPRING",2016,9,43.18
"VICENTI SPRING",2016,10,5.08
"VICENTI SPRING",2016,11,30.48
"VICENTI SPRING",2016,12,68.58
"VICENTI SPRING",2016,1,31.75
"VICENTI SPRING",2016,2,13.97
"VICENTI SPRING",2016,3,5.08
"WARPATH VALLEY",2016,4,63.5
"WARPATH VALLEY",2016,5,17.78
"WARPATH VALLEY",2016,6,15.24
"WARPATH VALLEY",2016,7,83.82
"WARPATH VALLEY",2016,8,15.24
"WARPATH VALLEY",2016,9,20.32
"WARPATH VALLEY",2016,10,25.4
"WARPATH VALLEY",2016,11,11.43
"WARPATH VALLEY",2016,12,20.32
"WARPATH VALLEY",2016,1,4.826
"WARPATH VALLEY",2016,2,9.906
"WARPATH VALLEY",2016,3,2.794
"WHEATFIELDS WX",2016,4,17.78
"WHEATFIELDS WX",2016,5,14.986
"WHEATFIELDS WX",2016,6,4.572
"WHEATFIELDS WX",2016,7,40.64
"WHEATFIELDS WX",2016,8,54.61
"WHEATFIELDS WX",2016,9,11.43
"WHEATFIELDS WX",2016,10,45.72
"WHEATFIELDS WX",2016,11,20.32
"WHEATFIELDS WX",2016,12,44.196
"WHEATFIELDS WX",2016,1,33.02
"WHEATFIELDS WX",2016,2,0
"WHEATFIELDS WX",2016,3,2.54
"WHISKEY CREEK SC",2016,4,63.5
"WHISKEY CREEK SC",2016,5,15.24
"WHISKEY CREEK SC",2016,6,NA
"WHISKEY CREEK SC",2016,7,NA
"WHISKEY CREEK SC",2016,8,86.36
"WHISKEY CREEK SC",2016,9,35.56
"WHISKEY CREEK SC",2016,10,38.1
"WHISKEY CREEK SC",2016,11,30.988
"WHISKEY CREEK SC",2016,12,73.152
"WHISKEY CREEK SC",2016,1,50.8
"WHISKEY CREEK SC",2016,2,20.32
"WHISKEY CREEK SC",2016,3,5.08
"WHITE CLAY",2016,4,50.8
"WHITE CLAY",2016,5,48.26
"WHITE CLAY",2016,6,12.7
"WHITE CLAY",2016,7,26.162
"WHITE CLAY",2016,8,90.678
"WHITE CLAY",2016,9,15.24
"WHITE CLAY",2016,10,22.86
"WHITE CLAY",2016,11,35.56
"WHITE CLAY",2016,12,67.31
"WHITE CLAY",2016,1,41.91
"WHITE CLAY",2016,2,18.542
"WHITE CLAY",2016,3,9.398
"WIDE RUINS WX",2016,4,34.29
"WIDE RUINS WX",2016,5,7.62
"WIDE RUINS WX",2016,6,10.16
"WIDE RUINS WX",2016,7,10.16
